movie_id,user_id,rating,user_name
7991608,2898520,5,SnoopyStyle
7991608,4569900,7,Prismark10
7991608,5876717,7,kosmasp
7991608,2707735,7,classicsoncall
7991608,13977076,7,Tweekums
7991608,22654354,8,paul_haakonsen
7991608,0342623,7,blanche-2
7991608,29385135,5,Calicodreamin
7991608,12844960,6,trashgang
7991608,3146136,7,siderite
7991608,6201371,6,cricketbat
7991608,71305899,3,Numberis6
7991608,27175177,7,The-Sarkologist
7991608,79950921,7,ops-52535
7991608,57691865,10,cruise01
7991608,8462477,3,eddie_baggins
7991608,64798417,8,Top_Dawg_Critic
7991608,2582239,1,digitalbeachbum
7991608,50463365,6,SAMTHEBESTEST
7991608,84924605,8,imseeg
7991608,6918917,6,gwnightscream
7991608,23566468,6,lisafordeay
7991608,23566468,6,lisafordeay
7991608,59627333,7,subxerogravity
7991608,43949288,5,JoBloTheMovieCritic
7991608,2929860,8,stevendbeard
7991608,49848930,5,alindsay-al
7991608,100229298,6,kwenchow
7991608,0351766,5,henry8-3
7991608,13211310,8,jewelch
7991608,48282208,5,aidanratesmovies
7991608,52600820,1,TheOneThatYouWanted
7991608,1090944,1,dierregi
7991608,94560739,8,masonsaul
7991608,25226117,7,rgkarim
7991608,69864183,7,elliotjeory
7991608,1634796,6,Luigi Di Pilla
7991608,11523087,7,nancyldraper
7991608,91998110,6,zhyarTheChosen
7991608,52856345,7,xmasdaybaby1966
7991608,34290913,8,Muhammad_Rafeeq
7991608,12048299,6,martimusross
7991608,4103165,1,Xstal
7991608,51181843,9,btreakle
7991608,117926588,6,IonicBreezeMachine
7991608,96996693,6,vithiet
7991608,34187486,6,MadamWarden
7991608,14630819,6,thekarmicnomad
7991608,0307374,3,rupie
7991608,10919398,8,bankofmarquis
7991608,8271923,10,juanmuscle
7991608,27582881,7,Horror_Flick_Fanatic
7991608,112380085,7,brookenichole-98054
7991608,105506099,9,HabibieHakim123
7991608,71516783,6,pietclausen
7991608,130195767,7,Movi3DO
7991608,30091810,3,Neptune165
7991608,30091810,3,Neptune165
7991608,30091810,3,Neptune165
7991608,23240045,6,kjproulx
7991608,23858655,4,kuarinofu
7991608,118439842,7,legobuilderpro
7991608,88270629,5,djurrepower
7991608,46919419,6,SoumikBanerjee25
7991608,0146564,8,Nozz
7991608,54176053,5,0w0
7991608,8554198,6,chunkylefunga
7991608,25217752,2,bshaef
7991608,24373984,6,cardsrock
7991608,63857399,6,CANpatbuck3664
7991608,133290271,5,lareval
7991608,26030604,8,kaefab
7991608,17087537,6,Stanlee107
7991608,110143882,10,hotwheelerd-61843
7991608,12906670,7,statuskuo
7991608,26163020,5,PedroPires90
7991608,6046664,3,mmthos
7991608,93138442,6,sbweightman
7991608,1062771,3,judywalker2
7991608,89745032,6,danielmanson
7991608,125007632,10,gab-67599
7991608,60227834,7,cgvsluis
7991608,80691527,7,drpainters
7991608,65205095,1,backup-50362
7991608,55597043,5,paulwattriley
7991608,102393358,7,BrnzReviews
7991608,12740916,6,DLochner
7991608,41285353,4,Marynewcomb2013
7991608,69892343,6,whitemanfromtowne
7991608,16657919,7,willandcharlenebrown
7991608,71088443,4,W011y4m5
7991608,26579233,6,daisukereds
7991608,79317583,5,tushargupta-27286
7991608,126266447,8,jakethesnake-42007
7991608,34790048,4,movieman6-413-929510
7991608,8478074,5,CountJonnie
7991608,27125033,4,shashrvacai
7991608,10067675,6,trimblair
7991608,85483078,7,payasoingenioso
7991608,75340345,3,gallagherkellie
7991608,64442606,2,srdjan_veljkovic
7991608,12144093,7,m-ramanan
7991608,24755804,6,rehmankhilji
7991608,0327799,3,tccandler
7991608,17085434,6,byron-116
7991608,98824201,10,grlym-46849
7991608,133140653,4,ThomasColquith
7991608,14940942,5,Nemesis42
7991608,87808462,7,jackgdemoss
7991608,111831007,5,nidhunmoviebuff
7991608,85220553,6,backnblack-06123
7991608,128851908,6,robawalker-77417
7991608,84682955,6,rgo23821
7991608,122781086,4,isaacochoterena
7991608,20263141,6,jdring2007
7991608,23183310,7,stevebondi
7991608,13876601,3,krzysiektom
7991608,24179951,7,Slarkshark
7991608,90308584,5,gilleliath
7991608,106024418,8,Ahmedfadil00
7991608,61702090,5,vintagegeek
7991608,0637715,4,RogerBorg
7991608,4413144,6,OneAnjel
7991608,66541531,5,gcsman
7991608,13863190,8,mjb301086
7991608,8202613,5,Spartan_1_1_7
7991608,134224713,7,CrazyArty
7991608,17235488,3,stevelivesey67
7991608,78300033,1,rmmil
7991608,70977263,8,a_mobbs
7991608,131861662,6,jjburkekid
7991608,117862781,9,mattfrancis-03963
7991608,49080270,7,Nightmarelogic
7991608,65401550,3,calorne
7991608,77948093,3,torrascotia
7991608,57739284,8,elliotpower2000
7991608,84677252,8,silicontourist
7991608,69481828,7,magadalwarmayur
7991608,66492393,3,therealjaysmoke
7991608,57867801,7,kelly-gaudreau
7991608,127033612,3,douglasmcbroom
7991608,78124884,5,jaimemedina-36288
7991608,119213216,6,AscendeSuperius
7991608,65494799,10,caelum-natura
7991608,135654449,1,evilnigga
7991608,31561960,1,krunalpatel11127
7991608,135925400,9,the1sentencereviewer
7991608,3260904,1,hpcmakeup
7991608,107207959,3,rohanumpleby
7991608,37365377,3,fraser-simons
7991608,94005246,7,BijeshNagesh
7991608,114159520,8,jindann
7991608,64692948,7,evansjoshyr
7991608,0096314,5,fallyhag
